time;SP;PV;OP
628;110;110.25;13.78
629;110;110.63;13.75
630;110;110.38;13.74
631;110;110.38;13.72
632;110;110.38;13.71
633;110;109.5;13.74
634;110;109;13.79
635;110;108;13.88
636;110;107.88;13.95
637;110;108.13;14.02
638;110;107.75;14.11
639;110;107.63;14.2
640;110;107.63;14.28
641;110;108.88;14.3
642;110;110.38;14.27
643;110;110.5;14.25
644;110;110.75;14.22
645;110;111;14.18
646;110;111.25;14.13
647;110;111.63;14.06
648;110;111.63;14
649;110;111.38;13.96
650;110;111.38;13.91
651;110;111.75;13.84
652;110;111.88;13.77
653;110;112.5;13.67
654;110;113.13;13.54
655;110;113.5;13.41
656;110;113.25;13.29
657;110;113.38;13.17
658;110;113.5;13.04
659;110;113.5;12.91
660;110;113.25;12.8
661;110;113.13;12.69
662;110;112.88;12.58
663;110;113;12.47
664;110;113;12.36
665;110;112.63;12.27
666;110;112.13;12.2
667;110;111.75;12.15
668;110;111.63;12.09
669;110;110.5;12.09
670;110;109.13;12.14
671;110;108.25;12.22
672;110;107.75;12.31
673;110;107.5;12.4
674;110;107.5;12.49
675;110;107.38;12.59
676;110;107.5;12.68
677;110;107.88;12.75
678;110;108.38;12.8
679;110;108.75;12.84
680;110;108.88;12.88
681;110;109.13;12.91
682;110;109.5;12.92
683;110;109.75;12.93
684;110;109.88;12.93
685;110;109.88;12.94
686;110;109.88;12.94
687;110;110.38;12.92
688;110;110.38;12.91
689;110;110.38;12.89
690;110;110.63;12.86
691;110;109.88;12.88
692;110;109.25;12.92
693;110;108.38;12.99
694;110;108;13.07
695;110;107.63;13.16
696;110;107.13;13.27
697;110;106.75;13.4
698;110;106.75;13.52
699;110;106.75;13.63
700;110;106.75;13.75
701;110;106.63;13.88
702;110;106.5;14.01
703;110;106.75;14.12
704;110;106.88;14.23
705;110;107.63;14.31
706;110;108.63;14.34
707;110;109.75;14.34
708;110;111.5;14.25
709;110;112.38;14.15
710;110;113;14.04
711;110;112.75;13.94
712;110;112.63;13.85
713;110;112.88;13.74
714;110;112.63;13.64
715;110;113;13.53
716;110;113.25;13.41
717;110;113.75;13.26
718;110;113.63;13.13
719;110;113.63;13
720;110;113.13;12.89
721;110;112.13;12.83
722;110;111.5;12.79
723;110;111.38;12.74
724;110;111;12.71
725;110;110.75;12.69
726;110;110.75;12.66
727;110;110.38;12.65
728;110;110.25;12.64
729;110;110.38;12.63
730;110;110.38;12.61
731;110;110.38;12.6
732;110;110.13;12.6
733;110;110.13;12.59
734;110;110.13;12.59
735;110;110.63;12.56
736;110;111.5;12.49
737;110;111.63;12.43
738;110;111.63;12.37
739;110;112.38;12.27
740;110;112.63;12.17
741;110;112.13;12.1
742;110;111.25;12.07
743;110;110.5;12.07
744;110;110.38;12.05
745;110;109.75;12.07
746;110;109.88;12.07
747;110;110;12.07
748;110;110.13;12.07
749;110;109.75;12.08
750;110;109.88;12.08
751;110;109.63;12.1
752;110;109.13;12.14
753;110;108.13;12.22
754;110;107.63;12.32
755;110;107.63;12.41
756;110;107.63;12.49
757;110;107.5;12.58
758;110;107.13;12.7
759;110;107.5;12.78
760;110;107.38;12.88
761;110;107.13;12.99
762;110;107.25;13.08
763;110;107.13;13.19
764;110;107;13.3
765;110;107.13;13.41
766;110;107.13;13.51
767;110;107.38;13.6
768;110;107.88;13.67
769;110;108.75;13.7
770;110;109.13;13.73
771;110;109.25;13.76
772;110;109.5;13.77
773;110;109.88;13.77
774;110;110.38;13.75
775;110;110.13;13.75
776;110;110;13.75
777;110;110.63;13.72
778;110;110.75;13.69
779;110;110.88;13.65
780;110;110.38;13.65
781;110;110.13;13.65
782;110;109;13.7
783;110;108.38;13.77
784;110;107.88;13.85
785;110;107.5;13.95
786;110;107.75;14.03
787;110;107.5;14.12
788;110;107.38;14.22
789;110;108;14.28
790;110;109.5;14.28
791;110;110.38;14.25
792;110;111.5;14.18
793;110;111.63;14.12
794;110;111.63;14.06
795;110;111.13;14.03
796;110;111.63;13.96
797;110;112.25;13.87
798;110;112.75;13.76
799;110;113.38;13.63
800;110;113.63;13.49
801;110;113.13;13.39
802;110;112.88;13.29
803;110;112.75;13.19
804;110;113;13.07
805;110;113.25;12.95
806;110;113.5;12.82
807;110;113.38;12.7
808;110;112.88;12.6
809;110;112.75;12.5
810;110;113.13;12.38
811;110;113;12.28
812;110;112.5;12.19
813;110;112;12.13
814;110;111.5;12.08
815;110;111.13;12.05
816;110;110.25;12.05
817;110;109.13;12.1
818;110;107.75;12.2
819;110;107.5;12.3
820;110;107.25;12.4
821;110;107.25;12.5
822;110;107.13;12.61
823;110;107.38;12.7
824;110;108;12.76
825;110;108.88;12.79
826;110;109.25;12.81
827;110;109.63;12.82
828;110;110.13;12.81
829;110;110;12.81
830;110;110.38;12.79
831;110;110.13;12.79
832;110;110.38;12.77
833;110;110.63;12.75
834;110;110.5;12.73
835;110;110.63;12.71
836;110;110.63;12.68
837;110;110.38;12.67
838;110;110.75;12.64
839;110;109.88;12.66
840;110;108.5;12.73
841;110;108.25;12.8
842;110;108.13;12.87
843;110;108.38;12.93
844;110;108.13;13
845;110;107.38;13.11
846;110;107.25;13.21
847;110;107.13;13.31
848;110;107;13.43
849;110;107.13;13.53
850;110;107.5;13.61
851;110;107.75;13.69
852;110;108.13;13.75
853;110;108.75;13.79
854;110;109.38;13.8
855;110;109.75;13.81
856;110;109.88;13.81
857;110;110.38;13.79
858;110;110.5;13.77
859;110;110.13;13.77
860;110;110.38;13.75
861;110;110.25;13.75
862;110;110.25;13.74
863;110;110.25;13.73
864;110;110.5;13.7
865;110;110.25;13.7
866;110;110.25;13.69
867;110;110;13.69
868;110;109.75;13.71
869;110;109;13.75
870;110;108.63;13.81
871;110;108.5;13.87
872;110;108.25;13.93
873;110;107.88;14.02
874;110;107.88;14.1
875;110;107.88;14.17
876;110;107.88;14.25
877;110;109.5;14.24
878;110;110.38;14.22
879;110;111;14.17
880;110;111.5;14.11
881;110;111.5;14.05
882;110;111.88;13.98
883;110;112.63;13.87
884;110;113.25;13.74
885;110;113.75;13.6
886;110;113.88;13.46
887;110;113.88;13.32
888;110;114.13;13.16
889;110;114.38;13
890;110;114.63;12.83
891;110;114.63;12.66
892;110;114.63;12.49
893;110;115;12.3
894;110;114.75;12.13
895;110;114.63;11.97
896;110;113.88;11.84
897;110;112.75;11.75
898;110;110;11.79
899;110;107.5;11.92
900;110;106;12.09
901;110;105.25;12.28
902;110;104.88;12.47
903;110;104.88;12.66
904;110;104.63;12.86
905;110;104.25;13.07
906;110;104.25;13.28
907;110;104.38;13.48
908;110;104.25;13.7
909;110;104.25;13.9
910;110;104.5;14.1
911;110;104.38;14.31
912;110;104.75;14.49
913;110;107.13;14.56
914;110;109.38;14.55
915;110;111.13;14.48
916;110;113.13;14.34
917;110;115.38;14.11
918;110;116.5;13.85
919;110;117.25;13.58
920;110;117.38;13.31
921;110;117.63;13.03
922;110;117.88;12.74
923;110;117.25;12.48
924;110;117.38;12.21
925;110;117.25;11.95
926;110;116.63;11.72
927;110;114.25;11.6
928;110;111.13;11.6
929;110;108.25;11.71
930;110;106.38;11.87
931;110;105.38;12.06
932;110;105;12.24
933;110;104.75;12.44
934;110;105;12.62
935;110;105.25;12.79
936;110;105.38;12.95
937;110;105.38;13.12
938;110;105.13;13.3
939;110;104.75;13.5
940;110;104.63;13.7
941;110;104.5;13.9
942;110;104.63;14.1
943;110;105.38;14.25
944;110;106.38;14.37
945;110;108.63;14.38
946;110;110.5;14.34
947;110;111.88;14.25
948;110;112.25;14.16
949;110;112.63;14.06
950;110;112.88;13.95
951;110;113.13;13.83
952;110;113.13;13.72
953;110;113.25;13.6
954;110;113.13;13.49
955;110;113.5;13.35
956;110;113.38;13.23
957;110;113.38;13.11
958;110;112.88;13.01
959;110;112.38;12.93
960;110;111.63;12.89
961;110;111.5;12.83
962;110;111.13;12.8
963;110;110.75;12.78
964;110;110.5;12.76
965;110;110.63;12.74
966;110;110.38;12.73
967;110;110.25;12.72
968;110;110.25;12.71
969;110;110.13;12.71
970;110;110.25;12.7
971;110;110.63;12.67
972;110;111.25;12.61
973;110;111.88;12.54
974;110;112.25;12.45
975;110;112.75;12.34
976;110;112.75;12.24
977;110;113.13;12.12
978;110;113.13;12.01
979;110;112.63;11.92
980;110;110.88;11.91
981;110;110.38;11.91
982;110;109.63;11.93
983;110;107.75;12.04
984;110;107;12.16
985;110;105.88;12.33
986;110;105.13;12.52
987;110;103.88;12.76
988;110;103.75;12.99
989;110;103.5;13.23
990;110;103.5;13.47
991;110;103.5;13.71
992;110;103.38;13.95
993;110;103.38;14.19
994;110;103.13;14.45
995;110;103.88;14.66
996;110;105.88;14.78
997;110;108.13;14.81
998;110;110.88;14.74
999;110;113;14.6
1000;110;115;14.38
1001;110;115.88;14.16
1002;110;116.88;13.89
1003;110;117.13;13.63
1004;110;117.13;13.37
1005;110;117;13.11
1006;110;117.38;12.84
1007;110;117.75;12.55
1008;110;117.88;12.26
1009;110;117.75;11.98
1010;110;117.88;11.69
1011;110;116.63;11.47
1012;110;112.75;11.43
1013;110;108.88;11.53
1014;110;105.88;11.73
1015;110;103.88;11.98
1016;110;102;12.3
1017;110;101.13;12.64
1018;110;100.5;12.99
1019;110;100.38;13.34
1020;110;100.63;13.68
1021;110;100.63;14.02
1022;110;100.63;14.37
1023;110;101.88;14.64
1024;110;104.75;14.79
1025;110;107.38;14.85
1026;110;110;14.81
1027;110;112.13;14.7
1028;110;113.88;14.53
1029;110;114.88;14.33
1030;110;114.88;14.16
1031;110;115.5;13.95
1032;110;115.5;13.75
1033;110;115.5;13.55
1034;110;115.5;13.35
1035;110;115.88;13.13
1036;110;115.75;12.92
1037;110;115.75;12.71
1038;110;116.25;12.47
1039;110;116.25;12.25
1040;110;116;12.03
1041;110;115.5;11.84
1042;110;113.13;11.76
1043;110;111.13;11.75
1044;110;110.13;11.76
1045;110;107.5;11.89
1046;110;105.75;12.07
1047;110;105;12.27
1048;110;104.5;12.48
1049;110;104.38;12.68
1050;110;104.13;12.9
1051;110;103.88;13.13
1052;110;103;13.4
1053;110;103.25;13.64
1054;110;103.13;13.89
1055;110;103.13;14.14
1056;110;103;14.4
1057;110;103.13;14.65
1058;110;105.25;14.79
1059;110;108.25;14.8
1060;110;111;14.73
1061;110;113.5;14.56
1062;110;114.63;14.38
1063;110;115.13;14.18
1064;110;115.5;13.97
1065;110;115.88;13.75
1066;110;116.25;13.52
1067;110;116.63;13.27
1068;110;116.38;13.05
1069;110;116.38;12.81
1070;110;116.25;12.59
1071;110;115.88;12.38
1072;110;115.25;12.2
1073;110;114.63;12.04
1074;110;113;11.95
1075;110;110.75;11.96
1076;110;108.38;12.06
1077;110;107.25;12.17
1078;110;105.63;12.36
1079;110;104.88;12.56
1080;110;103.88;12.79
1081;110;103.88;13.02
1082;110;103.63;13.25
1083;110;103.88;13.47
1084;110;104.38;13.67
1085;110;105.13;13.84
1086;110;105.75;13.98
1087;110;105.88;14.13
1088;110;106.25;14.26
1089;110;107.13;14.35
1090;110;109;14.36
1091;110;111.25;14.28
1092;110;112.75;14.16
1093;110;113.13;14.04
1094;110;113.38;13.91
1095;110;113.63;13.78
1096;110;113.63;13.64
1097;110;113.63;13.51
1098;110;113.25;13.4
1099;110;112.88;13.3
1100;110;112.5;13.21
1101;110;111.5;13.17
1102;110;111.5;13.12
1103;110;111.13;13.08
1104;110;110.75;13.06
1105;110;110.38;13.06
1106;110;110.63;13.03
1107;110;110.38;13.02
1108;110;110.25;13.01
1109;110;110.38;13
1110;110;110;13
1111;110;110.38;12.98
1112;110;109.88;12.99
1113;110;109.88;13
1114;110;110;13
1115;110;110.5;12.97
1116;110;111;12.93
1117;110;111.5;12.87
1118;110;111.75;12.8
1119;110;111.88;12.73
1120;110;112.25;12.64
1121;110;113;12.52
1122;110;113;12.41
1123;110;113.13;12.29
1124;110;113.13;12.18
1125;110;113.13;12.07
1126;110;112.88;11.96
1127;110;111.25;11.94
1128;110;109.88;11.97
1129;110;108.25;12.06
1130;110;106.13;12.23
1131;110;104.88;12.44
1132;110;103.88;12.68
1133;110;103.13;12.94
1134;110;103;13.2
1135;110;103.13;13.44
1136;110;103.13;13.69
1137;110;103.38;13.93
1138;110;102.88;14.2
1139;110;103;14.45
1140;110;103.5;14.68
1141;110;105.5;14.82
1142;110;107.5;14.88
1143;110;109.63;14.86
1144;110;111.25;14.79
1145;110;112.25;14.69
1146;110;113;14.57
1147;110;113.5;14.43
1148;110;113.63;14.3
1149;110;114.5;14.12
1150;110;114.75;13.94
1151;110;115.13;13.75
1152;110;115.38;13.55
1153;110;115.5;13.35
1154;110;115.13;13.17
1155;110;115.38;12.97
1156;110;115.75;12.75
1157;110;116;12.53
1158;110;115.75;12.33
1159;110;115.5;12.13
1160;110;115.25;11.94
1161;110;113.63;11.84
1162;110;110.38;11.87
1163;110;108;11.98
1164;110;105.88;12.16
1165;110;105;12.36
1166;110;103.75;12.61
1167;110;103.5;12.85
1168;110;103;13.11
1169;110;103;13.36
1170;110;103.13;13.61
1171;110;102.75;13.88
1172;110;103.25;14.12
1173;110;103.88;14.33
1174;110;104.63;14.52
1175;110;107;14.59
1176;110;109.5;14.57
1177;110;112.13;14.45
1178;110;114;14.28
1179;110;115.13;14.08
1180;110;115.75;13.86
1181;110;116.63;13.6
1182;110;116.38;13.37
1183;110;115.75;13.17
1184;110;115.88;12.96
1185;110;116.13;12.73
1186;110;116.63;12.48
1187;110;116.38;12.25
1188;110;115.75;12.05
1189;110;114.25;11.92
1190;110;111.38;11.92
1191;110;109.13;11.98
1192;110;107.38;12.1
1193;110;105.75;12.28
1194;110;104.38;12.51
1195;110;104;12.73
1196;110;104;12.95
